ID    Loop#    Timestamp    Frequency    Latitude    Longitude        RF reading

CH-2     0    1540667160.26    54309000.0    32.70522095    -116.3759808        -103.370743
CH-3     0    1540667162.83    60309000.0    32.70522095    -116.3759808        -109.616753
CH-4     0    1540667165.39    66309000.0    32.70522095    -116.3759808        -106.709084
CH-5     0    1540667167.96    76309000.0    32.70522095    -116.3759808        -109.565910
CH-6     0    1540667170.53    82309000.0    32.70522095    -116.3759808        -111.553665
CH-7     0    1540667173.2    174309000.0    32.705220467    -116.375980317        -106.585259
CH-8     0    1540667175.76    180309000.0    32.705220467    -116.375980317        -112.299606
CH-9     0    1540667178.33    186309000.0    32.705220467    -116.375980317        -110.405853
CH-10     0    1540667180.9    192309000.0    32.705220467    -116.375980317        -109.043213
CH-11     0    1540667183.47    198309000.0    32.705220467    -116.375980317        -104.967621
CH-12     0    1540667186.04    204309000.0    32.705220467    -116.375980317        -104.881195
CH-13     0    1540667188.61    210309000.0    32.705220467    -116.375980317        -108.039268
CH-14     0    1540667191.28    470309000.0    32.705220467    -116.375980317        -108.859901
CH-15     0    1540667193.85    476309000.0    32.70520845    -116.3759893        -106.995773
CH-16     0    1540667196.42    482309000.0    32.705197333    -116.376068033        -112.197655
CH-17     0    1540667198.99    488309000.0    32.705186283    -116.376222583        -112.749550
CH-18     0    1540667201.56    494309000.0    32.705175767    -116.37647305        -124.498207
CH-19?     0    1540667204.13    500309000.0    32.705175733    -116.376828433        -104.654594
CH-20     0    1540667206.7    506309000.0    32.705214567    -116.377240983        -115.111832
CH-21     0    1540667209.27    512309000.0    32.7053095    -116.377705267        -113.813644
CH-22     0    1540667211.84    518309000.0    32.705468083    -116.378154333        -100.837471
CH-23     0    1540667214.41    524309000.0    32.705712817    -116.37862345        -109.134491
CH-24     0    1540667216.98    530309000.0    32.705998267    -116.3790322        -105.392532
CH-25     0    1540667219.54    536309000.0    32.706321983    -116.3794604        -108.743202
CH-26     0    1540667222.11    542309000.0    32.706637117    -116.379897467        -109.522240
CH-27     0    1540667224.68    548309000.0    32.70697075    -116.380369383        -107.611595
CH-28     0    1540667227.26    554309000.0    32.7073248    -116.38079345        -109.252342
CH-29     0    1540667229.83    560309000.0    32.707715467    -116.381110817        -110.427185
CH-30     0    1540667232.4    566309000.0    32.708136217    -116.3813423        -111.765228
CH-31     0    1540667235.07    572309000.0    32.708542533    -116.381564983        -104.314888
CH-32     0    1540667237.64    578309000.0    32.7089491    -116.381881517        -102.516952
CH-33     0    1540667240.21    584309000.0    32.709284717    -116.3822602        -108.286102
CH-34     0    1540667242.78    590309000.0    32.7095796    -116.382733133        -106.256455
CH-35     0    1540667245.35    596309000.0    32.709797017    -116.3832627        -104.036095
CH-36     0    1540667247.92    602309000.0    32.709929317    -116.383829533        -109.580170
CH-37     0    1540667250.5    608309000.0    32.710013867    -116.384375517        -111.029839
CH-38     0    1540667253.07    614309000.0    32.7101231    -116.384924817        -111.062882
CH-39     0    1540667255.63    620309000.0    32.710268617    -116.38546435        -105.446167
CH-40     0    1540667258.2    626309000.0    32.710444717    -116.386003617        -106.319397
CH-41     0    1540667260.77    632309000.0    32.71063445    -116.386483967        -105.042946
CH-42     0    1540667263.34    638309000.0    32.71088075    -116.386986133        -101.166824
CH-43     0    1540667265.91    644309000.0    32.711154583    -116.3873888        -107.302422
CH-44     0    1540667268.48    650309000.0    32.711466267    -116.387729917        -108.355629
CH-45     0    1540667271.05    656309000.0    32.711854683    -116.388018083        -108.634819
CH-46     0    1540667273.62    662309000.0    32.71227065    -116.388227517        -110.832489
CH-47     0    1540667276.19    668309000.0    32.712709067    -116.388359217        -105.370438
CH-48     0    1540667278.86    674309000.0    32.713203683    -116.388496383        -101.416489
CH-49     0    1540667281.43    680309000.0    32.713663567    -116.388626917        -109.453041
CH-50     0    1540667284.0    686309000.0    32.714138    -116.388758333        -108.520493
CH-51     0    1540667286.57    692309000.0    32.714606333    -116.388893933        -112.345108
CH-52     0    1540667289.14    701000000.0    32.715068767    -116.389029817        -103.205971
CH-53     0    1540667291.71    707000000.0    32.7155058    -116.38914995        -106.650299
CH-54     0    1540667294.28    713000000.0    32.715942433    -116.3892726        -104.000641
CH-55     0    1540667296.85    719000000.0    32.716369417    -116.38939085        -107.840103
CH-56     0    1540667299.42    725000000.0    32.716743783    -116.38951725        -110.487045
CH-69     0    1540667302.09    803000000.0    32.71715095    -116.38971715        -103.061790
LTE-A     0    1540667304.66    731500000.0    32.717546633    -116.389970183        -109.312676
LTE-CMP1     0    1540667307.23    738900000.0    32.717885833    -116.39026325        -104.782600
LTE-ATT     0    1540667309.8    739000000.0    32.718218833    -116.390639        -111.277946
LTE-CMP2     0    1540667312.37    750800000.0    32.718497867    -116.391038        -108.071617
LTE-CMP3     0    1540667314.94    750900000.0    32.718744433    -116.391499417        -111.840164
LTE-B     0    1540667317.51    751000000.0    32.718929633    -116.39196935        -109.333008
LTE-CMP3     0    1540667320.08    751100000.0    32.71906835    -116.39247745        -111.975563
LTE-CMP4     0    1540667322.65    751200000.0    32.71915095    -116.392984417        -113.052330
