datetime	lat	long	alt	vel_x	vel_y	vel_z	acc_x	elevation	source	location	vehicle	device	freq	sig_strength	sig_strength_Dbm		
33:27.5	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-20.787029	-68.90550117		
33:29.9	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-22.74872	-71.87737912		
33:32.4	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-24.552282	-73.58354877		8.681167256
33:34.8	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-21.500851	-69.62360611		
33:37.2	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-24.318129	-73.36204003		75.36266493
33:39.6	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-23.455765	-72.54624369		
33:42.2	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-23.745256	-72.82010218		
33:44.6	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-21.730873	-69.85500824		
33:47.0	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-22.607445	-71.74373297		
33:49.4	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-25.582283	-74.55792972		
33:51.8	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-26.301157	-75.23798452		
33:54.3	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-24.076132	-73.13311087		
33:56.7	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-23.962931	-73.02602273		
33:59.1	33.14969211	-116.658167	0.076171875	4.19E-05	-0.001384589	-0.004315186		0.076171875	0	1	0	0	470.309	-23.267956	-72.36857638		
34:01.5	33.14969212	-116.658167	0.068725586	0.000112437	0.001588664	-0.002224469		0.068725586	0	1	0	0	470.309	-24.228689	-73.27742979		
34:03.9	33.14969217	-116.6581671	0.063354492	0.003724325	-0.00117541	-0.002801986		0.063354492	0	1	0	0	470.309	-24.646246	-73.67243872		
34:06.4	33.14969224	-116.6581671	0.068481445	0.004962372	0.001819987	0.001632306		0.068481445	0	1	0	0	470.309	-23.094397	-72.20438956		
